location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Shoreline,2020-06-01,51.1,54.8,59.5,30.15,48.5,0.0,,,8.52,17.26,
Shoreline,2020-06-02,50.5,54.9,59.2,30.21,49.0,0.0,,,8.17,21.86,
Shoreline,2020-06-03,51.6,54.3,58.5,30.22,50.4,0.0,,,9.67,18.3,
Shoreline,2020-06-04,52.7,55.7,58.1,30.11,48.5,0.0,,,6.56,16.11,
Shoreline,2020-06-05,51.4,54.9,60.6,29.86,50.2,0.0,,,11.62,18.3,
Shoreline,2020-06-06,52.3,55.2,59.7,29.77,50.4,0.0,,,11.05,18.3,
Shoreline,2020-06-07,50.4,53.3,57.7,29.91,50.2,0.0,,,9.32,16.11,
Shoreline,2020-06-08,52.0,55.7,59.9,30.13,49.5,0.0,,,10.93,19.68,
Shoreline,2020-06-09,51.1,54.6,59.7,30.11,51.1,0.0,,,12.31,17.26,
Shoreline,2020-06-10,54.0,57.9,66.4,30.12,56.1,0.0,,,9.78,17.26,
Shoreline,2020-06-11,55.8,59.2,66.2,30.07,54.7,0.0,,,10.13,16.11,
Shoreline,2020-06-12,53.1,56.2,67.1,30.01,52.8,0.0,,,10.13,18.3,
Shoreline,2020-06-13,51.3,53.9,58.3,29.96,51.4,0.0,,,8.06,19.68,
Shoreline,2020-06-14,49.6,53.8,60.1,29.99,49.6,0.0,,,12.31,23.02,
Shoreline,2020-06-15,52.9,56.3,59.4,29.92,51.3,0.0,,,10.13,19.68,
Shoreline,2020-06-16,51.8,55.1,59.0,30.03,51.1,0.0,,,8.75,14.96,
Shoreline,2020-06-17,51.8,56.6,66.0,30.24,51.5,0.0,,,5.98,14.96,
Shoreline,2020-06-18,52.5,57.5,62.8,30.25,53.9,0.0,,,9.44,17.26,
Shoreline,2020-06-19,54.7,59.8,66.9,30.03,55.9,0.0,,,5.98,11.39,
Shoreline,2020-06-20,58.3,62.1,66.7,29.92,57.1,0.0,,,13.0,24.17,
Shoreline,2020-06-21,54.7,58.8,64.6,30.07,56.3,0.0,,,13.58,19.68,
Shoreline,2020-06-22,52.3,56.9,62.6,30.21,52.5,0.0,,,7.6,16.11,
Shoreline,2020-06-23,55.2,60.4,66.2,30.09,53.4,0.0,,,9.21,19.68,
Shoreline,2020-06-24,57.7,61.2,67.6,29.94,58.2,0.0,,,8.86,16.11,
Shoreline,2020-06-25,55.2,59.7,66.0,30.06,57.7,0.0,,,7.83,18.3,
Shoreline,2020-06-26,55.2,60.6,66.4,30.05,56.6,0.0,,,8.06,18.3,
Shoreline,2020-06-27,53.2,56.8,61.0,30.00,55.3,0.0,,,10.59,20.83,
Shoreline,2020-06-28,51.6,55.0,62.4,29.90,53.0,0.0,,,7.25,14.96,
Shoreline,2020-06-29,54.7,59.3,64.4,29.96,54.1,0.0,,,11.28,17.26,
Shoreline,2020-06-30,54.0,58.0,63.7,29.97,54.6,0.0,,,15.31,18.3,
Shoreline,2020-07-01,53.6,56.5,60.3,29.96,52.6,0.0,,,15.88,21.86,
Shoreline,2020-07-02,54.9,56.8,59.9,29.96,52.9,0.0,,,18.18,20.83,
Shoreline,2020-07-03,53.6,56.7,60.3,30.04,52.9,0.0,,,9.67,16.11,
Shoreline,2020-07-04,53.8,57.2,63.7,30.18,54.3,0.0,,,6.1,12.77,
Shoreline,2020-07-05,51.8,57.5,63.1,30.19,54.2,0.0,,,5.52,12.77,
Shoreline,2020-07-06,54.0,58.5,64.9,30.08,53.2,0.0,,,7.6,13.81,
Shoreline,2020-07-07,54.5,57.2,63.5,30.05,53.8,0.0,,,10.36,13.81,
Shoreline,2020-07-08,55.4,58.3,66.9,30.11,55.4,0.0,,,5.64,16.11,
Shoreline,2020-07-09,55.4,58.5,65.1,30.02,55.7,0.0,,,7.48,13.81,
Shoreline,2020-07-10,54.0,57.9,66.4,30.13,53.9,0.0,,,8.29,17.26,
Shoreline,2020-07-11,53.1,58.3,67.3,30.12,54.6,0.0,,,8.4,19.68,
Shoreline,2020-07-12,54.3,58.3,61.0,30.14,55.2,0.0,,,12.08,20.83,
Shoreline,2020-07-13,52.9,58.0,62.4,30.14,52.3,0.0,,,9.21,17.26,
Shoreline,2020-07-14,53.2,59.6,67.3,30.14,53.6,0.0,,,7.48,12.77,
Shoreline,2020-07-15,56.3,61.6,67.8,30.14,55.4,0.0,,,8.29,14.96,
Shoreline,2020-07-16,56.7,60.9,66.7,30.05,58.8,0.0,,,8.17,16.11,
Shoreline,2020-07-17,56.1,60.0,65.3,30.05,58.4,0.0,,,7.02,14.96,
Shoreline,2020-07-18,54.3,59.9,65.3,30.19,56.4,0.0,,,6.1,13.81,
Shoreline,2020-07-19,56.3,62.0,66.4,30.12,58.1,0.0,,,8.86,16.11,
Shoreline,2020-07-20,58.1,63.5,67.6,30.03,59.6,0.0,,,8.4,16.11,
Shoreline,2020-07-21,59.0,64.5,71.1,29.92,60.2,0.0,,,8.17,14.96,
Shoreline,2020-07-22,59.5,62.5,66.9,29.86,60.4,0.0,,,7.36,11.39,
Shoreline,2020-07-23,57.4,59.9,64.4,29.94,58.0,0.0,,,7.94,13.81,
Shoreline,2020-07-24,56.1,58.5,61.0,30.04,55.8,0.0,,,8.06,13.81,
Shoreline,2020-07-25,52.9,58.0,63.9,30.14,54.1,0.0,,,8.06,16.11,
Shoreline,2020-07-26,55.8,60.6,64.9,30.11,55.0,0.0,,,13.35,18.3,
Shoreline,2020-07-27,58.3,65.3,73.6,29.93,57.3,0.0,,,8.63,16.11,
Shoreline,2020-07-28,56.8,63.2,72.7,29.89,57.8,0.0,,,8.98,13.81,
Shoreline,2020-07-29,54.9,59.9,65.1,29.93,56.5,0.0,,,8.29,16.11,
Shoreline,2020-07-30,56.7,62.3,72.9,29.97,55.3,0.0,,,10.13,14.96,
Shoreline,2020-07-31,59.0,66.2,76.5,29.94,57.1,0.0,,,8.29,16.11,
Shoreline,2020-08-01,58.3,61.0,67.1,30.10,58.5,0.0,,,7.83,14.96,
Shoreline,2020-08-02,56.7,62.3,73.6,30.08,58.8,0.0,,,5.98,13.81,
Shoreline,2020-08-03,57.6,62.8,71.8,30.13,59.2,0.0,,,6.56,14.96,
Shoreline,2020-08-04,56.3,61.6,68.2,30.11,59.5,0.0,,,7.02,12.77,
